company,score,Sector,url
K Z Leasing & Finance Ltd,21,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511728/
Jagsonpal Services Ltd,21,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530601/
Abhinav Leasing & Finance Ltd,19,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538952/
Standard Batteries Ltd,18,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/504180/
Landmarc Leisure Corporation Ltd,18,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/532275/
Capital Trust Ltd,18,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/CAPTRUST/
HB Leasing & Finance Co Ltd,18,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/508956/
Regis Industries Ltd,18,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/543208/
Futuristic Securities Ltd,17,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/523113/
FGP Ltd,17,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/500142/
Transwarranty Finance Ltd,17,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/TFL/consolidated/
Maruti Securities Ltd,17,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531319/
TruCap Finance Ltd,16,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/TRU/
Siddha Ventures Ltd,16,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/530439/
Savani Financials Ltd,15,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511577/
Aar Shyam (India) Investment Company Ltd,15,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/542377/
Sujala Trading & Holdings Ltd,15,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539117/
Mena Mani Industries Ltd,15,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/531127/
Seven Hill Industries Ltd,14,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/511760/
Karnavati Finance Ltd,14,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/538928/
Dhenu Buildcon Infra Ltd,14,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/501945/
Northlink Fiscal & Capital Services Ltd,13,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539110/
Kiduja India Ltd,12,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/507946/
Superior Finlease Ltd,12,Non Banking Financial Company (NBFC) Companies,https://www.screener.in/company/539835/
